metric,family,mean_audiobook,mean_focus,mean_diff,dz,t_stat,t_p,t_p_fdr,wilcox_p,direction,median_dz,median_t_p,median_t_p_fdr,median_wilcox_p,median_direction
w2_rfreqRaw,window_gamma,42.67733117630444,42.31710987198283,0.3602213043216101,0.25851846835086684,0.6332383365454659,0.5544066259114492,0.8441415471180413,0.43750000000000017,higher_audiobook,0.09543829712514891,0.8244296179362883,0.893959826677903,0.6875000000000002,higher_audiobook
w3_bandDb,window_gamma,-0.5643205432760698,-0.7264973777036154,0.16217683442754552,0.25072596569994215,0.6141506812314154,0.5659810674306882,0.8441415471180413,0.5625000000000002,higher_audiobook,0.17659021597883454,0.6833585825623479,0.893959826677903,0.6875000000000002,higher_audiobook
w2_rfreqPW,window_gamma,42.487110155011806,42.21225921553053,0.27485093948127215,0.2391423327595928,0.5857766911598642,0.5834675699512066,0.8441415471180413,0.43750000000000017,higher_audiobook,0.23210336233880347,0.5942549078471846,0.893959826677903,0.6875000000000002,higher_audiobook
w3_rpowZ,window_gamma,2.159644476909978,2.110672625577858,0.04897185133211986,0.23554868472583274,0.5769740871619959,0.5889598059859237,0.8441415471180413,0.6875000000000002,higher_audiobook,0.18199178055905,0.6743916532626058,0.893959826677903,1,higher_audiobook
w3_aucZ,window_gamma,1.079822238454989,1.0553363127889293,0.02448592566605982,0.23554868472583076,0.5769740871619912,0.5889598059859267,0.8441415471180413,0.6875000000000002,higher_audiobook,0.18199178055905055,0.6743916532626049,0.893959826677903,1,higher_audiobook
p4_bandDb,segment_gamma,-0.7618854093159272,-0.8732412587173646,0.11135584940143746,0.22368791406003766,0.5479212510746273,0.6073088446243935,0.8441415471180413,0.9999999999999998,higher_audiobook,0.2852448950418324,0.5158923575589021,0.893959826677903,0.6875000000000002,higher_audiobook
chirpSlope2,chirp,1.6517852009362683,2.8573013964068537,-1.2055161954705853,-0.22184725060711624,-0.5434125648267804,0.6101865656299704,0.8441415471180413,1,higher_focus,-0.22887462460265628,0.5992432083144879,0.893959826677903,0.8437500000000002,higher_focus
p3_rpowZ,segment_gamma,2.0614989027987356,2.0542235535042415,0.0072753492944939895,0.22170844691529024,0.5430725666073922,0.6104038982603509,0.8441415471180413,0.43750000000000017,higher_audiobook,0.45485059848224957,0.31588482810438434,0.893959826677903,0.3125000000000001,higher_audiobook
gammaBumpDb,gamma_power,16.568190895553307,16.430671594170736,0.1375193013825715,0.22085966591438758,0.5409934862518119,0.6117338704253477,0.8441415471180413,0.5625000000000002,higher_audiobook,0.19898883902139725,0.6465780609823494,0.893959826677903,0.8437500000000002,higher_audiobook
inhalePeakMs,airflow_morphology,805.8433786525314,842.641293285778,-36.79791463324667,-0.2173686755771101,-0.5324423412284955,0.6172217763873851,0.8441415471180413,0.9999999999999998,higher_focus,-0.6585521884599156,0.1676381518895522,0.7968967785071484,0.15625000000000006,higher_focus
anyBurst,burst,0.9975124378109452,0.9942528735632183,0.0032595642477268685,0.19851206181634726,0.4862532592378829,0.6473497008099385,0.8725148141351344,1,higher_audiobook,NA,NA,NA,NA,n/a
p3_rfreqGated,segment_gamma,43.58738607183601,44.26860449823071,-0.681218426394698,-0.1609344719861132,-0.394207338390211,0.7096798021414794,0.9428603085593941,1,higher_focus,-0.14131377227025563,0.7433223611404377,0.893959826677903,1,higher_focus
p3_bandDb,segment_gamma,-0.5202256846943055,-0.6178471880648672,0.09762150337056162,0.14440498438480176,0.35371852805733683,0.7379761831194522,0.9613315511985351,1,higher_audiobook,0.2419665407974248,0.5791735232832402,0.893959826677903,0.8437500000000002,higher_audiobook
p1_rfreqRaw,segment_gamma,43.24974063656535,43.379122555116794,-0.12938191855144274,-0.14077451615820974,-0.34482573337479955,0.7442566847988659,0.9613315511985351,1,higher_focus,-0.08379691148406596,0.84546408354364,0.8951815899220438,0.8437500000000002,higher_focus
p3_rfreqRaw,segment_gamma,43.89285229797808,44.3297941668234,-0.4369418688453142,-0.11123018299597123,-0.2724571923365274,0.7961641536902806,0.9667664972013832,0.9999999999999998,higher_focus,-0.16960950544221964,0.6950350213306721,0.893959826677903,1,higher_focus
