metric,family,method,n_breath,n_subj,binary,cond_beta_raw,cond_p_raw,cond_p_raw_fdr,cond_beta_adj,cond_p_adj,cond_p_adj_fdr,cond_df_adj,cond_p_adj_rs,cond_p_adj_rs_fdr,rs_singular,cond_beta_adj_subj,cond_p_adj_subj,cond_p_adj_subj_fdr,cond_d_adj,direction_adj,airflow_attenuated,survives_adj_raw05,survives_adj_fdr,survives_honest
w3_rpowDb,window_gamma,lmer,869,6,FALSE,-0.5149754122239687,0.02169002647319306,0.07827270422934887,-0.580940274624814,0.019645402745552796,0.07764611561337534,859.6268485368759,0.12524047043166664,0.8141197551203583,FALSE,0.3217897737809283,0.6357788846451756,0.9743723678974494,-0.1272576758691967,higher_audiobook,FALSE,TRUE,FALSE,FALSE
p4_rfreqPW,segment_gamma,lmer,811,6,FALSE,0.9532042728762002,0.009872902123861112,0.04655559631574045,0.8165513752996109,0.04015112020646572,0.1514792262334843,802.048882731158,0.2174850095061489,0.8141197551203583,FALSE,0.7544154013273413,0.4352501898222193,0.9743723678974494,0.15711560602756783,higher_focus,FALSE,TRUE,FALSE,FALSE
w4_rpowDb,window_gamma,lmer,869,6,FALSE,-0.5576802173419256,0.019491047567911333,0.07703604514936384,-0.5245476914297919,0.047298490361318925,0.17068585652128135,859.6122015009522,0.1738299891493179,0.8141197551203583,TRUE,0.48137075205349245,0.5009440687271962,0.9743723678974494,-0.10797448166923966,higher_audiobook,FALSE,TRUE,FALSE,FALSE
w2_rpowDb,window_gamma,lmer,869,6,FALSE,-0.4241371600927975,0.0634649541639329,0.1816410757105666,-0.4945017425502726,0.051302325603142136,0.17742054271086657,860.3563285627183,0.11688412771614778,0.8141197551203583,TRUE,0.13935864703194412,0.8402910636311802,0.9743723678974494,-0.11631029990720304,higher_audiobook,FALSE,FALSE,FALSE,FALSE
p3_rpowDb,segment_gamma,lmer,859,6,FALSE,-0.4506920747775277,0.04092928782251082,0.13065888035647685,-0.455903625234828,0.06204938506578323,0.20600395841840033,849.5392235997784,0.15942166031461627,0.8141197551203583,TRUE,0.46854447540174543,0.5136464712236437,0.9743723678974494,-0.1007455376270137,higher_audiobook,TRUE,FALSE,FALSE,FALSE
anyBurst_base,burst,lmer,869,6,TRUE,-0.002583979328165056,0.26465952061200326,0.5491685052699068,-0.004452962548414152,0.07157712174481275,0.22849619633920995,405.5291067511705,0.24929423182616303,0.8621425517321472,TRUE,-0.002296984936396628,0.19582297150655378,0.9743723678974494,-0.13126801884936104,higher_audiobook,FALSE,FALSE,FALSE,FALSE
p4_rfreqRaw,segment_gamma,lmer,812,6,FALSE,0.8099386414654502,0.025468506635573544,0.08807858544802517,0.6548658194682982,0.09345713176634483,0.2872941458002452,797.737571038449,0.22559945021407518,0.8141197551203583,FALSE,0.7207836410404868,0.42616656045226087,0.9743723678974494,0.1292270156702435,higher_focus,TRUE,FALSE,FALSE,FALSE
freqJitter,ridge_frequency,lmer,869,6,FALSE,0.3345212310226085,0.02142737964391395,0.07827270422934887,0.26263695882260396,0.10078452427688267,0.29875412553504505,821.5085929022903,0.1552261915102284,0.8141197551203583,TRUE,0.15466597173331434,0.27303638090469506,0.9743723678974494,0.12425605668570006,higher_focus,TRUE,FALSE,FALSE,FALSE
gammaBumpDb,gamma_power,lmer,869,6,FALSE,-0.3108856812929513,0.10487572603106696,0.26377834122965327,-0.33854501840237444,0.10978637977190955,0.3142161903816722,858.9615088070767,0.48431321931777543,0.9828693100201511,FALSE,0.05054584802885128,0.8906645657780681,0.9743723678974494,-0.08040904043015916,higher_audiobook,FALSE,FALSE,FALSE,FALSE
burstLatMs,burst,lmer,867,6,FALSE,38.12375463177883,0.08846559258385105,0.2368594898212786,36.63968280884131,0.13289454822230296,0.3676749167483715,766.2519263896232,0.10915838831903996,0.8141197551203583,TRUE,38.34561625600111,0.03996840212707663,0.9743723678974494,0.11304733903088876,higher_focus,FALSE,FALSE,FALSE,FALSE
p4_rpowZ,segment_gamma,lmer,812,6,FALSE,0.05285759973611143,0.0810746199097449,0.2243064484169609,0.04741717441491367,0.14242814627447972,0.3813398755090908,792.8453007657672,0.6037793263888764,0.9828693100201511,FALSE,0.023468860858551478,0.7123572480579976,0.9743723678974494,0.11236194429774897,higher_focus,FALSE,FALSE,FALSE,FALSE
apOffset,aperiodic,lmer,869,6,FALSE,-0.0694409156729157,0.05477774541484503,0.1683908470160051,-0.053216971932281254,0.18154484209579508,0.4431922660085529,858.9302012956053,0.6313065028164426,0.9828693100201511,FALSE,0.017090115075485583,0.8655605553684811,0.9743723678974494,-0.07061436284091539,higher_audiobook,FALSE,FALSE,FALSE,FALSE
w5_rpowZ,window_gamma,lmer,869,6,FALSE,-0.029804211237028262,0.48376967656872005,0.7508752150808214,-0.06173490333729734,0.18398989767023685,0.4431922660085529,757.5622576825898,0.5217046721249188,0.9828693100201511,FALSE,-0.047558075725744275,0.5539512691117786,0.9743723678974494,-0.10001431018312874,higher_audiobook,FALSE,FALSE,FALSE,FALSE
w5_aucZ,window_gamma,lmer,869,6,FALSE,-0.014902105628814511,0.4837696762628224,0.7508752150808214,-0.030867451662701106,0.18398989776284982,0.4431922660085529,757.5622579095358,0.5217046736000097,0.9828693100201511,FALSE,-0.023779037862872422,0.553951269111775,0.9743723678974494,-0.10001431016385791,higher_audiobook,FALSE,FALSE,FALSE,FALSE
freqSpan,ridge_frequency,lmer,869,6,FALSE,0.7759964477464815,0.058070049584250424,0.17213621841045662,0.5858551707295847,0.18688830494336567,0.4431922660085529,493.4453423109152,0.5216446328384092,0.9828693100201511,TRUE,0.1795217492772925,0.6710752311528918,0.9743723678974494,0.09826032110913895,higher_focus,FALSE,FALSE,FALSE,FALSE
p2_aucZ,segment_gamma,lmer,869,6,FALSE,0.29707282161251936,5.64267549001841e-10,1.5611402189050934e-8,0.055412198868044486,0.19348831064416525,0.4460980495407143,860.5101398101078,0.3808477820126655,0.9828693100201511,FALSE,0.07372016151440433,0.5356441844506418,0.9743723678974494,0.06798763890227211,higher_focus,TRUE,FALSE,FALSE,FALSE
p3_rfreqPW,segment_gamma,lmer,859,6,FALSE,-0.226943149826051,0.6239008635529284,0.8219646297602072,-0.5732021451043141,0.25814056889213893,0.5790720869742576,852.8087294088226,0.9567391358844652,0.9925444950911286,FALSE,-0.11185163002964245,0.9374604460952176,0.9759095554368302,-0.08450128541062829,higher_audiobook,FALSE,FALSE,FALSE,FALSE
nBursts,burst,lmer,869,6,FALSE,-0.1132669903458304,0.43833752145284655,0.7276402856117252,-0.1763061225908907,0.2735787112805843,0.5975535009549604,862.6901397472585,0.618665973221066,0.9828693100201511,TRUE,-0.199741453374157,0.6062513819612578,0.9743723678974494,-0.08183128713779177,higher_audiobook,FALSE,FALSE,FALSE,FALSE
p2_rfreqGated,segment_gamma,lmer,858,6,FALSE,0.7450198275345187,0.11269157200720128,0.26724001361707733,0.561829917044384,0.28190324557195506,0.5999479328839044,851.9995121455894,0.5598038925749036,0.9828693100201511,FALSE,0.4211795059456867,0.7708744550358114,0.9743723678974494,0.07951712164478421,higher_focus,FALSE,FALSE,FALSE,FALSE
p2_rfreqPW,segment_gamma,lmer,869,6,FALSE,0.7065266762043954,0.10996199268949318,0.26724001361707733,0.5079607517982428,0.29980885803524765,0.622103380423139,862.9294777826419,0.590703142656412,0.9828693100201511,FALSE,0.4527636989843404,0.7503872340207361,0.9743723678974494,0.0761819241814641,higher_focus,FALSE,FALSE,FALSE,FALSE
p1_rpowZ,segment_gamma,lmer,869,6,FALSE,0.050831189984477165,0.15809976905309517,0.35465623868667295,0.03953564206560438,0.3148174452916294,0.6373133648586644,823.1149433899611,0.519388987958604,0.9828693100201511,TRUE,0.02715743056361165,0.1509755113581827,0.9743723678974494,0.07562842223153972,higher_focus,FALSE,FALSE,FALSE,FALSE
p2_rfreqRaw,segment_gamma,lmer,869,6,FALSE,0.643113299354848,0.13653552327989488,0.3147902342286465,0.47002729624692946,0.326039445348665,0.6401739787658676,862.6724679920363,0.5949617394060005,0.9828693100201511,FALSE,0.43578407657046964,0.7531611166865688,0.9743723678974494,0.07263921730022198,higher_focus,FALSE,FALSE,FALSE,FALSE
p3_rfreqRaw,segment_gamma,lmer,859,6,FALSE,-0.153542360956437,0.7309289941525148,0.9006017294577291,-0.46776991382975863,0.3384513455962652,0.6401739787658676,852.8978103862844,0.9475706819817975,0.9925444950911286,FALSE,-0.0854187866934955,0.9523936625347378,0.9759095554368302,-0.07160021122921863,higher_audiobook,FALSE,FALSE,FALSE,FALSE
w3_aucZ,window_gamma,lmer,869,6,FALSE,-0.022762666723396576,0.2881116063656389,0.5693634128256669,-0.022051591954295503,0.347900357031936,0.6401739787658676,855.1152501763265,0.861302228851704,0.9925444950911286,TRUE,-0.010641941486184345,0.749909915717211,0.9743723678974494,-0.07061965761730131,higher_audiobook,FALSE,FALSE,FALSE,FALSE
