sessID,participant,block,category,band,phase,phaseIdx,medZ,nEvents,nBreaths
260608_OBE_NWU_RX_1,RX,audiobook,nonolf,high,troughToPause,4,-0.204048366240201,74,74
260608_OBE_NWU_RX_1,RX,audiobook,nonolf,high,pause,5,-0.326015084763127,40,74
260608_OBE_NWU_RX_1,RX,audiobook,nonolf,low,inhaleRise,1,-0.281179000113616,74,74
260608_OBE_NWU_RX_1,RX,audiobook,nonolf,low,peakToExh,2,-0.277075534602805,74,74
260608_OBE_NWU_RX_1,RX,audiobook,nonolf,low,exhaleFall,3,-0.296831175620206,74,74
260608_OBE_NWU_RX_1,RX,audiobook,nonolf,low,troughToPause,4,-0.367061266199215,74,74
260608_OBE_NWU_RX_1,RX,audiobook,nonolf,low,pause,5,-0.249770553917994,40,74
260608_OBE_NWU_RX_1,RX,focusedBreathing,nonolf,high,inhaleRise,1,-0.386994060555574,31,31
260608_OBE_NWU_RX_1,RX,focusedBreathing,nonolf,high,peakToExh,2,-0.202662534096129,31,31
260608_OBE_NWU_RX_1,RX,focusedBreathing,nonolf,high,exhaleFall,3,-0.112294002659303,31,31
260608_OBE_NWU_RX_1,RX,focusedBreathing,nonolf,high,troughToPause,4,-0.0409208001810284,31,31
260608_OBE_NWU_RX_1,RX,focusedBreathing,nonolf,high,pause,5,-0.40485414677955,30,31
260608_OBE_NWU_RX_1,RX,focusedBreathing,nonolf,low,inhaleRise,1,-0.313929279668076,31,31
260608_OBE_NWU_RX_1,RX,focusedBreathing,nonolf,low,peakToExh,2,-0.309579527547181,31,31
260608_OBE_NWU_RX_1,RX,focusedBreathing,nonolf,low,exhaleFall,3,-0.347651255723228,31,31
260608_OBE_NWU_RX_1,RX,focusedBreathing,nonolf,low,troughToPause,4,-0.301901460567881,31,31
260608_OBE_NWU_RX_1,RX,focusedBreathing,nonolf,low,pause,5,-0.320728273543088,30,31
230611_OBE_NMH_AZ,AZ,cueTask,olf,high,inhaleRise,1,-0.215869709222587,40,40
230611_OBE_NMH_AZ,AZ,cueTask,olf,high,peakToExh,2,-0.0416417886433107,40,40
230611_OBE_NMH_AZ,AZ,cueTask,olf,high,exhaleFall,3,0.241927817358184,40,40
230611_OBE_NMH_AZ,AZ,cueTask,olf,high,troughToPause,4,-0.0565462176184439,40,40
230611_OBE_NMH_AZ,AZ,cueTask,olf,high,pause,5,0.548230186680739,31,40
230611_OBE_NMH_AZ,AZ,cueTask,olf,low,inhaleRise,1,-0.216130225579137,40,40
230611_OBE_NMH_AZ,AZ,cueTask,olf,low,peakToExh,2,-0.0344286975414086,40,40
230611_OBE_NMH_AZ,AZ,cueTask,olf,low,exhaleFall,3,0.249038688401141,40,40
230611_OBE_NMH_AZ,AZ,cueTask,olf,low,troughToPause,4,-0.143121809481486,40,40
230611_OBE_NMH_AZ,AZ,cueTask,olf,low,pause,5,0.229104730733179,31,40
241017_OBE_NMH_AS,AS,cueTask,olf,high,inhaleRise,1,0.0807087313949009,40,40
241017_OBE_NMH_AS,AS,cueTask,olf,high,peakToExh,2,0.236905203261684,40,40
241017_OBE_NMH_AS,AS,cueTask,olf,high,exhaleFall,3,0.0628338458260347,40,40
241017_OBE_NMH_AS,AS,cueTask,olf,high,troughToPause,4,-0.06161091044314,40,40
241017_OBE_NMH_AS,AS,cueTask,olf,high,pause,5,-0.0353977580112201,11,40
241017_OBE_NMH_AS,AS,cueTask,olf,low,inhaleRise,1,-0.174102110524047,40,40
241017_OBE_NMH_AS,AS,cueTask,olf,low,peakToExh,2,-0.311001448345767,40,40
241017_OBE_NMH_AS,AS,cueTask,olf,low,exhaleFall,3,-0.268846369443798,40,40
241017_OBE_NMH_AS,AS,cueTask,olf,low,troughToPause,4,-0.166624836547864,40,40
241017_OBE_NMH_AS,AS,cueTask,olf,low,pause,5,-0.167665648222781,11,40
240923_OBE_NMH_HRM,HRM,cueTask,olf,high,inhaleRise,1,-0.310429593631787,40,40
240923_OBE_NMH_HRM,HRM,cueTask,olf,high,peakToExh,2,-0.327622290740728,40,40
240923_OBE_NMH_HRM,HRM,cueTask,olf,high,exhaleFall,3,-0.334992685108468,40,40
240923_OBE_NMH_HRM,HRM,cueTask,olf,high,troughToPause,4,-0.342829447036734,40,40
240923_OBE_NMH_HRM,HRM,cueTask,olf,high,pause,5,-0.335788235868893,31,40
240923_OBE_NMH_HRM,HRM,cueTask,olf,low,inhaleRise,1,-0.264758762070966,40,40
240923_OBE_NMH_HRM,HRM,cueTask,olf,low,peakToExh,2,-0.234678091377328,40,40
240923_OBE_NMH_HRM,HRM,cueTask,olf,low,exhaleFall,3,-0.271993789031605,40,40
240923_OBE_NMH_HRM,HRM,cueTask,olf,low,troughToPause,4,-0.245799074021604,40,40
240923_OBE_NMH_HRM,HRM,cueTask,olf,low,pause,5,-0.240097913355085,31,40
250310_OBE_NMH_FS,FS,cueTask,olf,high,inhaleRise,1,0.0725940849600701,40,40
250310_OBE_NMH_FS,FS,cueTask,olf,high,peakToExh,2,-0.0208312147434451,40,40
250310_OBE_NMH_FS,FS,cueTask,olf,high,exhaleFall,3,-0.197910221450606,40,40
250310_OBE_NMH_FS,FS,cueTask,olf,high,troughToPause,4,-0.247553427702639,40,40
250310_OBE_NMH_FS,FS,cueTask,olf,high,pause,5,-0.259716301147546,38,40
250310_OBE_NMH_FS,FS,cueTask,olf,low,inhaleRise,1,-0.431978851956413,40,40
250310_OBE_NMH_FS,FS,cueTask,olf,low,peakToExh,2,-0.731899535599734,40,40
250310_OBE_NMH_FS,FS,cueTask,olf,low,exhaleFall,3,-0.520261657990381,40,40
250310_OBE_NMH_FS,FS,cueTask,olf,low,troughToPause,4,-0.342330289766068,40,40
250310_OBE_NMH_FS,FS,cueTask,olf,low,pause,5,-0.223049443519107,38,40
250313_OBE_NMH_CS,CS,cueTask,olf,high,inhaleRise,1,0.301760792028431,39,39
250313_OBE_NMH_CS,CS,cueTask,olf,high,peakToExh,2,0.139857711565475,39,39
250313_OBE_NMH_CS,CS,cueTask,olf,high,exhaleFall,3,-0.464261617817368,39,39
250313_OBE_NMH_CS,CS,cueTask,olf,high,troughToPause,4,-0.251421792928824,39,39
250313_OBE_NMH_CS,CS,cueTask,olf,high,pause,5,-0.0854618816482016,16,39
250313_OBE_NMH_CS,CS,cueTask,olf,low,inhaleRise,1,-0.444722706380841,39,39
250313_OBE_NMH_CS,CS,cueTask,olf,low,peakToExh,2,-0.0910218399641542,39,39
250313_OBE_NMH_CS,CS,cueTask,olf,low,exhaleFall,3,1.32866496971886,39,39
250313_OBE_NMH_CS,CS,cueTask,olf,low,troughToPause,4,0.0422286811451383,39,39
250313_OBE_NMH_CS,CS,cueTask,olf,low,pause,5,-0.197142023716971,16,39
260326_OBE_NWU_AD_2,AD,cueTask,olf,high,inhaleRise,1,-0.147074671553222,60,60
260326_OBE_NWU_AD_2,AD,cueTask,olf,high,peakToExh,2,-0.16747222556416,60,60
260326_OBE_NWU_AD_2,AD,cueTask,olf,high,exhaleFall,3,-0.401068840540295,60,60
260326_OBE_NWU_AD_2,AD,cueTask,olf,high,troughToPause,4,-0.344723258864099,60,60
260326_OBE_NWU_AD_2,AD,cueTask,olf,high,pause,5,-0.443550125334429,10,60
260326_OBE_NWU_AD_2,AD,cueTask,olf,low,inhaleRise,1,-0.340676647615255,60,60
260326_OBE_NWU_AD_2,AD,cueTask,olf,low,peakToExh,2,-0.220250000092965,60,60
260326_OBE_NWU_AD_2,AD,cueTask,olf,low,exhaleFall,3,-0.0478533285738377,60,60
260326_OBE_NWU_AD_2,AD,cueTask,olf,low,troughToPause,4,-0.225687139228054,60,60
260326_OBE_NWU_AD_2,AD,cueTask,olf,low,pause,5,-0.540009206015473,10,60
260514_OBE_NWU_BW_1,BW,cueTask,olf,high,inhaleRise,1,-0.018029634332818,40,40
260514_OBE_NWU_BW_1,BW,cueTask,olf,high,peakToExh,2,-0.100758248537752,40,40
260514_OBE_NWU_BW_1,BW,cueTask,olf,high,exhaleFall,3,0.0548998910006187,40,40
260514_OBE_NWU_BW_1,BW,cueTask,olf,high,troughToPause,4,-0.0833007741571622,40,40
260514_OBE_NWU_BW_1,BW,cueTask,olf,high,pause,5,-0.0606006518964979,39,40
260514_OBE_NWU_BW_1,BW,cueTask,olf,low,inhaleRise,1,-0.287580600799377,40,40
260514_OBE_NWU_BW_1,BW,cueTask,olf,low,peakToExh,2,0.262711715447216,40,40
260514_OBE_NWU_BW_1,BW,cueTask,olf,low,exhaleFall,3,0.0767813562768289,40,40
260514_OBE_NWU_BW_1,BW,cueTask,olf,low,troughToPause,4,-0.223625463758506,40,40
260514_OBE_NWU_BW_1,BW,cueTask,olf,low,pause,5,-0.300959416535591,39,40
260702_OBE_NWU_SP_2,SP,cueTask,olf,high,inhaleRise,1,0.00209991280323659,58,58
260702_OBE_NWU_SP_2,SP,cueTask,olf,high,peakToExh,2,-0.289446034490579,58,58
260702_OBE_NWU_SP_2,SP,cueTask,olf,high,exhaleFall,3,-0.215322110444639,58,58
260702_OBE_NWU_SP_2,SP,cueTask,olf,high,troughToPause,4,-0.239733192691767,58,58
