band,cluster,mass,p_perm,sig,nPix
high,neg32,-7.82522701226263,1,0,3
high,neg33,-43.5115019406298,1,0,14
high,neg34,-9.22682162115035,1,0,3
high,neg35,-242.286626162971,1,0,66
high,neg36,-85.5133420135194,1,0,26
high,neg37,-2.59942519829465,1,0,1
high,neg38,-17.068854061995,1,0,6
high,neg39,-8.94575447794348,1,0,3
high,neg40,-82.2184971078289,1,0,22
high,neg41,-8.580093659004,1,0,3
high,neg42,-35.5198136853536,1,0,11
high,neg43,-8.80486258094233,1,0,3
high,neg44,-73.9243680876666,1,0,22
high,neg45,-2.61647762312191,1,0,1
high,neg46,-53.1913259976092,1,0,15
high,neg47,-2.60328738324265,1,0,1
high,neg48,-2.57472913018805,1,0,1
high,neg49,-12.5434640169532,1,0,4
high,neg50,-56.4268668143304,1,0,15
high,neg51,-5.17814916504252,1,0,2
high,neg52,-5.30211184640186,1,0,2
high,neg53,-6.39899793231324,1,0,2
high,neg54,-2.65233291426304,1,0,1
high,neg55,-2.67892569884664,1,0,1
high,neg56,-2.85660807788742,1,0,1
high,neg57,-2.82138225232348,1,0,1
high,neg58,-10.9138840146978,1,0,4
high,neg59,-74.9740482760607,1,0,20
high,neg60,-13.8099959288812,1,0,5
high,neg61,-12.6895090450191,1,0,4
high,neg62,-28.1011518690796,1,0,10
high,neg63,-25.5331873908284,1,0,8
high,neg64,-8.28486792090122,1,0,3
high,neg65,-240.750319533668,1,0,64
high,neg66,-77.1649151265215,1,0,23
high,neg67,-81.6306591200444,1,0,24
high,neg68,-53.1213786923732,1,0,17
high,neg69,-68.1340152718744,1,0,17
high,neg70,-2.76807618980415,1,0,1
high,neg71,-48.988694895183,1,0,16
high,neg72,-100.426799012032,1,0,34
high,neg73,-24.6988123251547,1,0,9
high,neg74,-48.1160310382057,1,0,17
high,neg75,-2.6444031068847,1,0,1
high,neg76,-5.57060701928043,1,0,2
high,neg77,-2.91702729852615,1,0,1
high,neg78,-3.04197157057696,1,0,1
high,neg79,-2.76627230662141,1,0,1
high,neg80,-2.57607806270345,1,0,1
high,neg81,-50.714511020517,1,0,18
high,neg82,-45.7859877174394,1,0,14
high,neg83,-5.19809099459354,1,0,2
high,neg84,-52.0673681438623,1,0,14
high,neg85,-11.7131163092023,1,0,4
high,neg86,-14.4348983359682,1,0,5
high,neg87,-2.6339400547634,1,0,1
high,neg88,-2.82091281407431,1,0,1
high,neg89,-30.0000135929365,1,0,10
high,neg90,-26.779778283641,1,0,6
high,neg91,-11.1110849206981,1,0,4
high,neg92,-61.7424789446539,1,0,18
high,neg93,-13.2706952863688,1,0,4
high,neg94,-5.87273601870864,1,0,2
high,neg95,-24.3205631848339,1,0,7
high,neg96,-11.7049776390305,1,0,4
high,neg97,-5.49000448489053,1,0,2
high,neg98,-2.77048085456092,1,0,1
high,neg99,-38.7792103467854,1,0,12
high,neg100,-8.37689691765782,1,0,3
high,neg101,-11.1956927065624,1,0,4
high,neg102,-6.76080687830577,1,0,2
high,neg103,-2.78930308116197,1,0,1
high,neg104,-5.51160519139983,1,0,2
high,neg105,-7.15961669219239,1,0,2
high,neg106,-11.1377547493926,1,0,4
high,neg107,-58.5637693270733,1,0,18
high,neg108,-33.6300443355692,1,0,10
high,neg109,-19.4940472795876,1,0,7
high,neg110,-63.4836436485611,1,0,19
high,neg111,-31.5152340691993,1,0,11
high,neg112,-2.83383119488771,1,0,1
high,neg113,-13.4500599179941,1,0,4
high,neg114,-395.974398145007,0.625,0,130
high,neg115,-5.53394141939336,1,0,2
high,neg116,-8.14150537873392,1,0,3
high,neg117,-23.77540364221,1,0,9
high,neg118,-30.4044415586976,1,0,11
high,neg119,-5.3200431226245,1,0,2
high,neg120,-2.83910682609093,1,0,1
high,neg121,-221.140967103067,1,0,71
high,neg122,-80.1620838706834,1,0,24
high,neg123,-2.61787381965109,1,0,1
high,neg124,-51.2266142690334,1,0,14
high,neg125,-230.33545778868,1,0,64
high,neg126,-25.981177497818,1,0,7
high,neg127,-26.6692541073694,1,0,9
high,neg128,-172.56738576804,1,0,45
high,neg129,-8.14119190600784,1,0,3
high,neg130,-15.1597350100371,1,0,5
high,neg131,-52.9295923443957,1,0,17
high,neg132,-36.871896073668,1,0,13
high,neg133,-14.4680969309334,1,0,4
high,neg134,-64.7054798791187,1,0,17
high,neg135,-39.7082803394057,1,0,13
high,neg136,-32.2532790074684,1,0,10
high,neg137,-25.945681105397,1,0,8
high,neg138,-41.3476640300849,1,0,14
high,neg139,-11.1202222503714,1,0,4
high,neg140,-5.25839243795793,1,0,2
high,neg141,-26.9940998446798,1,0,9
high,neg142,-58.8890800560961,1,0,18
high,neg143,-2.58913448301061,1,0,1
high,neg144,-2.63692193061452,1,0,1
high,neg145,-2.92377424008321,1,0,1
high,neg146,-26.6927819906072,1,0,8
high,neg147,-2.72061089890255,1,0,1
high,neg148,-5.32887271727535,1,0,2
high,neg149,-94.5505008578569,1,0,27
high,neg150,-2.80809485746431,1,0,1
