task,metric,n_ctrl,n_dupi,control_mean,control_SD,control_CV,sep_control_dupi,sep_resp_nonresp,recovery_rho_dupi,recovery_rho_resp,max_separation,control_CV_rank,goodness
audiobook,w5_rfreqPW__var,7,28,47.33916245334942,12.999295467793651,0.27459918582905357,0.8677183077682457,-0.17214979216747878,0.18807388425441762,0.04349887839852368,0.8677183077682457,443,0.680777390583256
focusedBreathing,w2_rfreqPW__mean,3,27,42.24390513934181,2.824905331454144,0.06687131130678622,0.7222231934216599,-0.0429631733905243,-0.10494312302281535,-0.07692619873785157,0.7222231934216599,172,0.6769543671926328
threshTask,freqJitter__var,5,29,3.4295338978556744,1.0176674812717155,0.2967363820521729,0.8764814362811694,0.47925512176595125,-0.02328144982200635,-0.1631207939944638,0.8764814362811694,471,0.6759133532554075
cueTask,w2_rpowDb__mean,11,30,5.624707409933073,6.68276683757004,1.1881092382832847,-1.4784641245775745,-1.2231578524479862,-0.04449231138825248,0.04868927220433763,1.4784641245775745,791,0.6756811308641641
O15,p4_rpowZ__var,11,28,0.23180255049500928,0.15791741797040154,0.6812583250353114,0.3236394816459531,-1.1338620041672585,-0.19877036231852516,-0.19253655418060941,1.1338620041672585,711,0.67441272247288
focusedBreathing,w3_rfreqGated__mean,3,27,44.10672085675985,1.7260036210822542,0.03913244030651153,-0.05351071639257463,0.6995519171304645,0.08303910669095046,0.08593557336480717,0.6995519171304645,70,0.6732076586157955
focusedBreathing,p4_aucZ__mean,3,27,3.145246690409021,0.2793989012520714,0.08883211037634224,-0.7311463741295261,0.0022229339482433023,0.05492350363810897,0.11989398542025516,0.7311463741295261,230,0.6714959700047914
audiobook,p1_rfreqPW__mean,7,28,43.36823893119147,1.941399433019416,0.04476546617571667,0.07899865613684744,-0.6988716330175442,0.23883329451341023,0.370948768565188,0.6988716330175442,94,0.6689268124220356
focusedBreathing,peakFreq__mean,3,27,41.73467799783589,2.1846489663103617,0.052346132067229524,0.7025434339775127,0.32372151681266664,-0.007519289188550632,0.12543821595992014,0.7025434339775127,122,0.6675972976661546
audiobook,p4_aucZ__var,7,28,0.6516232152036017,0.32392774847626143,0.4971089740532652,0.35067481758646984,-0.9914100915410629,-0.12997929910250705,-0.0888102100636525,0.9914100915410629,631,0.6622163841934126
threshTask,p1_bandDb__var,5,29,2.0937822674593534,0.538270505661039,0.25708045854123557,0.8317243948140951,0.17530893708725145,-0.381233740835354,-0.41988500676352714,0.8317243948140951,416,0.6616317906804947
focusedBreathing,freqJitter__var,3,27,4.10823341951545,0.8046977444757786,0.19587439712099297,0.7897102352191279,0.47600010268168746,-0.14973193253722564,-0.07068893938072847,0.7897102352191279,357,0.6603621894743422
focusedBreathing,w5_rfreqRaw__var,3,27,43.46939237425396,16.80972897471015,0.38670264423294565,0.9108682495234578,0.021259077894764385,-0.08238525545716345,0.09841009207905337,0.9108682495234578,544,0.6568590990372737
audiobook,freqSpan__var,7,28,36.29438471614929,6.012956153529778,0.1656718029631902,0.24312329686317316,0.7645087706451015,0.06807042300627908,0.01691623048831476,0.7645087706451015,329,0.6558525038537312
threshTask,w4_rpowDb__var,5,29,9.336821064742804,10.25146820582424,1.0979613011367773,0.3641849272340174,-1.371893137018432,0.11402619174187202,0.287575918301351,1.371893137018432,783,0.6539172749635913
audiobook,p2_rpowZ__var,7,28,0.2746358664179612,0.07007996351496612,0.2551741117204958,0.3513455096148643,0.8206020995123459,-0.01701760575156977,-0.0030207554443419217,0.8206020995123459,414,0.6537755135719999
O15,p1_rpowDb__mean,11,28,4.143377444569469,5.4300766233502085,1.3105435588921814,-1.509728786672095,-0.2930202882752041,-0.03194523680119154,0.13952807249164417,1.509728786672095,809,0.6534084937987289
focusedBreathing,p2_rpowZ__mean,3,27,2.1077270456708552,0.09962666713120091,0.047267347680792327,-0.5568055785820766,-0.6842121485016424,0.10755852795796339,0.30354662204665755,0.6842121485016424,107,0.6533309283602248
audiobook,w2_rpowDb__var,7,28,8.279923672714087,3.5922594513895296,0.4338517591404519,0.5667354794839689,-0.9274286913663214,-0.11501554232095432,-0.026582647910208916,0.9274286913663214,591,0.646809327013195
audiobook,p1_rpowDb__mean,7,28,3.1334478512196156,3.1137665067727953,0.9937189491017446,-1.2871812320688,-0.5132308553745246,0.013496721802969128,0.06766492195325904,1.2871812320688,770,0.6456181964106475
threshTask,peakLatMs__var,5,29,314087.9316513977,54769.07612910144,0.17437497786412495,0.5517933665166547,-0.757816381553617,-0.0455046519248306,-0.06283171324231197,0.757816381553617,340,0.6452933652689731
cueTask,w2_rfreqGated__var,11,30,37.634124339017816,24.20882564854083,0.6432679402825551,0.1999850051315247,1.0577233973055427,-0.21528537768509265,-0.3725787786071053,1.0577233973055427,698,0.6436706828976838
cueTask,w2_rfreqPW__var,11,30,33.001013997851885,17.536867727541885,0.5314039055936888,0.25651945296033046,0.984299851442453,-0.24399009470977162,-0.4382034498390386,0.984299851442453,655,0.6427434642468561
threshTask,peakZ__mean,5,29,4.922441660932415,0.21988657750421986,0.044670225186152525,0.21771193662578164,0.6707660531438598,-0.14736099489610838,-0.19212004626014623,0.6707660531438598,93,0.6420840155794947
cueTask,p4_aucZ__mean,11,30,2.902351455285431,0.440264767942948,0.1516924378643033,-0.7387512930619713,0.39087768943620316,0.07319702841293149,0.02116924878449462,0.7387512930619713,316,0.6414484186697541
threshTask,w2_rfreqGated__var,5,29,29.30565622548133,17.01389270979727,0.580566856388054,1.0114706200985515,0.5435432647004896,-0.2156179727833543,-0.3238249836334541,1.0114706200985515,670,0.6399416867502754
cueTask,chirpSlope__var,11,30,604.9140342073531,219.50833577723535,0.36287525724957664,0.056530867322881935,0.8713941389476043,-0.13347693416475745,-0.17888015222897954,0.8713941389476043,526,0.6393792346822467
audiobook,w3_rpowDb__mean,7,28,3.3788718911317703,3.440674445631944,1.018290883902432,-1.2886540550823367,-0.491769675673332,0.0378495024474569,0.11418455579612465,1.2886540550823367,772,0.638487774661441
O15,w1_rpowDb__mean,11,28,3.388691851045745,5.129768267395125,1.5137901265050984,-1.6048207060501933,-0.15214523350295722,-0.10175149499638787,0.013404443645485466,1.6048207060501933,820,0.6384067982164296
audiobook,burstLatMs__mean,7,28,291.0065347309484,50.097803346566344,0.1721535339153548,0.6834114907606046,-0.7470201571832745,-0.28489819284093526,-0.22655665832564414,0.7470201571832745,338,0.6373057245222786
O15,anyBurst__mean,11,28,0.9908943660845422,0.01890220704829838,0.019075905238934175,-0.3613304909270087,-0.6486195675114796,-0.07393231566708387,0.1634192509562505,0.6486195675114796,23,0.6364781702491565
focusedBreathing,w2_rfreqPW__var,3,27,47.5510665074627,13.729152762010358,0.28872439190332294,0.46017279468904415,0.8190845863971563,0.12030862701681011,0.10811249552346708,0.8190845863971563,464,0.6355777787269523
focusedBreathing,breathLength__mean,3,27,6.190916815601023,3.3030469981757276,0.5335311547586239,-0.17917444467478988,-0.9726088462446899,-0.043154181429942755,-0.00970240344441371,0.9726088462446899,657,0.6342282928042485
focusedBreathing,breathLenMs__mean,3,27,6190.916815601024,3303.046998175728,0.5335311548447174,-0.17917444467479068,-0.9726088462446896,-0.043154181429942755,-0.00970240344441371,0.9726088462446896,658.5,0.6342282927686422
focusedBreathing,exhaleStartMs__mean,3,27,6190.916815601026,3303.0469981757296,0.5335311548447174,-0.17917444467479207,-0.9726088462446881,-0.043154181429942755,-0.00970240344441371,0.9726088462446881,658.5,0.6342282927686413
threshTask,p1_rpowDb__var,5,29,8.570611224496295,4.663831569772014,0.5441655731504665,0.7738490481740131,-0.9748365176525036,-0.08307244595579538,0.1123721025295195,0.9748365176525036,664,0.6313031028554821
focusedBreathing,p4_rpowDb__var,3,27,3.803027298311633,1.6850648137930682,0.44308512171292413,0.7728800763268818,-0.9109950971287557,-0.09775075945115821,-0.054749276579191666,0.9109950971287557,596,0.6312829946215618
audiobook,dutyCycle__var,7,28,0.005971769167456143,6.548529184514514e-4,0.10965809133448381,0.4269797631446081,-0.6996371888470279,0.23883329451341023,0.29240912701229804,0.6996371888470279,260,0.6304979833974251
audiobook,timeAboveMs__var,7,28,23934.874710240838,2624.6531165650854,0.10965810969722707,0.42697976314460745,-0.6996371888470272,0.23883329451341023,0.29240912701229804,0.6996371888470272,261,0.6304979729638752
focusedBreathing,returnCrossMs__var,3,27,64415.39230120793,38747.130192305696,0.6015197425348677,1.008609546325752,0.21977684209146703,0.10200079247077379,0.14484302284874756,1.008609546325752,683,0.6297827741600838
audiobook,p1_rpowZ__var,7,28,0.26912999752340205,0.05125757046695161,0.19045654794403952,0.36218795765199957,0.7496260832005067,0.011442872832952086,0.16553739834993733,0.7496260832005067,352,0.629696299705468
focusedBreathing,maxBurstMs__var,3,27,3516.1386706744456,1754.191967070942,0.498897265258871,-0.5075939419068628,-0.937972401279005,0.08140447860648294,0.022176922158659913,0.937972401279005,634,0.6257749767239785
O15,anyBurst_base__mean,11,28,0.9991503823279524,0.0028178630334370434,0.002820259172649622,-0.5576768401202511,-0.625733915813151,-0.03542789872225152,0.12899734044975905,0.625733915813151,13,0.6239741470015736
focusedBreathing,exhaleTroughMs__mean,3,27,2098.855491118649,351.2041240481969,0.1673312553123153,0.7272588120497516,-0.2702876234669263,-0.025827123734586954,0.004851201722206855,0.7272588120497516,331,0.6230098001232531
focusedBreathing,endSymMs__mean,3,27,4197.710982237298,702.4082480963938,0.16733125531235515,0.7272588120497516,-0.2702876234669263,-0.025827123734586954,0.004851201722206855,0.7272588120497516,332,0.6230098001232318
