task,metric,ctrl_mean,ctrl_sd,dupi_sd,d_sep,p_sep,rho,p_rho,S1,S2,S3,d_S1_ctrl,d_S3_ctrl,recover_gain,p_sep_fdr,p_rho_fdr
audiobook,w1_rfreqGated__var,66.6784500208874,9.024644957655998,16.929598984960723,0.4157036920567345,0.42529123019769777,0.04047797525871559,0.834856253979643,65.59846367169614,74.25535729751064,73.27575913111966,-0.10094415480463524,0.323212621460576,-0.22226846665594074,0.6397605648827044,0.9967397636835182
audiobook,w1_rfreqRaw__var,54.0836878825279,7.461162187533849,11.509219288435954,-0.04714708038197288,0.9259373359779808,0.13995326086183363,0.46900745404496613,50.25584993929511,56.909414262647395,56.64011364838102,-0.5450508266962955,0.19148106294897238,0.3535697637473231,0.9515157154248863,0.9967397636835182
audiobook,w1_rpowZ__var,0.3585557815823763,0.05845794561103208,0.10978263814333065,0.7273497494874334,0.09647655324940284,-0.27990652172366726,0.14139398150883709,0.44155866005950734,0.4107953791042153,0.3767127498683154,0.9063413537920513,0.2128094303733662,0.6935319234186851,0.3588927780877786,0.9967397636835182
audiobook,w1_rpowDb__var,7.476954298743313,3.516423814101709,6.737602942818289,0.8854188401612488,0.044650870777047436,-0.0465628996440127,0.8104473136041546,11.81436630995069,12.020131964462134,11.541317147187275,0.7574682810752956,0.5990946842845528,0.1583735967907428,0.3075948875752157,0.9967397636835182
audiobook,w1_bandDb__var,1.569671084082734,0.3604588819237464,2.3555242431538055,1.204534350431237,0.004024566054932776,-0.36033334838150743,0.05483698424809871,3.629236420995451,2.772134007238469,2.268373004190304,0.959690898549803,0.6225382960092405,0.33715260254056256,0.06965275070647967,0.9967397636835182
audiobook,w1_aucZ__var,0.08963894539559417,0.014614486402757995,0.02744565953583267,0.7273497494874342,0.09647655324940232,-0.27990652172366726,0.14139398150883709,0.11038966501487689,0.102698844776054,0.0941781874670789,0.9063413537920505,0.21280943037336428,0.6935319234186862,0.3588927780877786,0.9967397636835182
audiobook,w2_rfreqPW__var,53.5159219316909,11.48508335130324,10.816971658084173,0.3215051119409943,0.5749400332671548,-0.2613871866379804,0.17079740590479792,58.28810978264756,57.742510288625745,50.93719521082441,0.5031867807137124,-0.2078430889714441,0.29534369174226827,0.7693442171776316,0.9967397636835182
audiobook,w2_rfreqGated__var,63.406263003367286,16.3006125646313,13.728086102809186,0.4816260336012477,0.4085875658722279,-0.14736099489610838,0.4455614930718359,67.46235318392088,72.96502582130626,65.31526874890508,0.34718533573058424,0.10290212961560052,0.24428320611498372,0.6397605648827044,0.9967397636835182
audiobook,w2_rfreqRaw__var,49.593643733281986,9.97982858221574,9.175004003699406,0.47838495842901463,0.42605346729626714,-0.33996207978725185,0.07116908882218004,55.588104051243924,53.887694610468,46.091295070819235,0.7506339160063992,-0.3671747239973351,0.3834591920090641,0.6397605648827044,0.9967397636835182
audiobook,w2_rpowZ__var,0.35700839306224913,0.06723768458902185,0.0911879305530408,0.4013862034983914,0.40198850280918996,0.015873715787731602,0.9348635013609234,0.3961349374503762,0.3736979651254044,0.4084892496281807,0.524303825177355,0.7199730220507159,-0.19566919687336093,0.6397605648827044,0.9967397636835182
