analysis,task,metric,control_CV,n_ctrl,n_resp,n_nonresp,sep_cd,sep_cd_lo,sep_cd_hi,cd_sig,sep_rn,recovery_rho,isRidgeFreq,smallNonResp
peak_gated,focusedBreathing,breathLength,0.3372618451462902,7,9,18,-0.21853320775227716,NA,NA,0,-0.3291913864710127,0.031394548541689056,0,0
peak_gated,focusedBreathing,w1_rfreqPW,0.05462810813122705,7,9,18,0.6734787159739913,NA,NA,0,-0.7846508037048089,-0.206558524984571,1,0
peak_gated,focusedBreathing,w1_rfreqGated,0.05545343481877255,7,9,18,0.6376839785072342,NA,NA,0,-0.5956971767921371,-0.14787712584122698,1,0
peak_gated,focusedBreathing,w1_rfreqRaw,0.05293888368997313,7,9,18,0.6462522245045577,NA,NA,0,-0.6771631654197734,-0.15931999867417904,1,0
peak_gated,focusedBreathing,w1_rpowZ,0.07637950874235509,7,9,18,-0.3460276315207984,NA,NA,0,0.4978854371421232,0.11530894931667103,0,0
peak_gated,focusedBreathing,w1_rpowDb,1.486224621908667,7,9,18,-1.3057424591735833,NA,NA,0,-0.8489455385033834,0.004107697940034082,0,0
peak_gated,focusedBreathing,w1_bandDb,1.8636915650344816,7,9,18,-1.0911007485433122,NA,NA,0,-0.8389692781659366,0.009095616867218326,0,0
peak_gated,focusedBreathing,w1_aucZ,0.07637950870200451,7,9,18,-0.3460276315207975,NA,NA,0,0.4978854371421225,0.11530894931667103,0,0
peak_gated,focusedBreathing,w2_rfreqPW,0.042440062833554365,7,9,18,0.6867941860126237,NA,NA,0,-0.41195039697456476,-0.16694858056281375,1,0
peak_gated,focusedBreathing,w2_rfreqGated,0.0498070393824461,7,9,18,0.5658604944253526,NA,NA,0,-0.3911248546266436,-0.0319813625331225,1,0
peak_gated,focusedBreathing,w2_rfreqRaw,0.044530862744372214,7,9,18,0.6444973053869617,NA,NA,0,-0.33624647613984765,-0.15051778880267744,1,0
peak_gated,focusedBreathing,w2_rpowZ,0.08447903469476688,7,9,18,-0.6462231266030446,NA,NA,0,0.2830105803021186,0.024352780644487773,0,0
peak_gated,focusedBreathing,w2_rpowDb,1.3045138812080017,7,9,18,-1.3435558913802685,NA,NA,0,-0.9296862257290915,-0.04958578227612571,0,0
peak_gated,focusedBreathing,w2_bandDb,1.9519360675554112,7,9,18,-1.092517676727961,NA,NA,0,-0.8767304038268882,0.004107697940034082,0,0
peak_gated,focusedBreathing,w2_aucZ,0.08447903465191778,7,9,18,-0.6462231266030436,NA,NA,0,0.28301058030211973,0.024352780644487773,0,0
peak_gated,focusedBreathing,w3_rfreqPW,0.03251749265079472,7,9,18,0.0020119308674901586,NA,NA,0,-0.2061311749538389,0.048412154293258826,1,0
