sessID,participant,task,category,block,band,window,winMid,medZ,medZ_ninv,nBreaths
260326_OBE_NWU_AD_2,AD,breathingTask,nonolf,focusedBreathing,high,500-1000,750,2.31412380817244,0.29629319217683,61
260326_OBE_NWU_AD_2,AD,breathingTask,nonolf,focusedBreathing,high,1000-1500,1250,0.772984614378791,0.0989705382611931,61
260326_OBE_NWU_AD_2,AD,breathingTask,nonolf,focusedBreathing,high,1500-2000,1750,-0.265665289223556,-0.0340149547386546,61
260326_OBE_NWU_AD_2,AD,breathingTask,nonolf,focusedBreathing,low,0-500,250,-1.01974968432841,-0.130565567893966,61
260326_OBE_NWU_AD_2,AD,breathingTask,nonolf,focusedBreathing,low,500-1000,750,-0.690333555906183,-0.0883881546112091,61
260326_OBE_NWU_AD_2,AD,breathingTask,nonolf,focusedBreathing,low,1000-1500,1250,-0.850892031972666,-0.108945560933542,61
260326_OBE_NWU_AD_2,AD,breathingTask,nonolf,focusedBreathing,low,1500-2000,1750,-0.946916646179441,-0.121240252933338,61
260514_OBE_NWU_BW_1,BW,breathingTask,nonolf,audiobook,high,0-500,250,1.07313768882697,0.130137060054847,68
260514_OBE_NWU_BW_1,BW,breathingTask,nonolf,audiobook,high,500-1000,750,7.91342981283278,0.959644322918275,68
260514_OBE_NWU_BW_1,BW,breathingTask,nonolf,audiobook,high,1000-1500,1250,8.17904584661277,0.991854998304525,68
260514_OBE_NWU_BW_1,BW,breathingTask,nonolf,audiobook,high,1500-2000,1750,7.04605945341854,0.854460216789014,68
260514_OBE_NWU_BW_1,BW,breathingTask,nonolf,audiobook,low,0-500,250,-0.243304936795698,-0.029505057460085,68
260514_OBE_NWU_BW_1,BW,breathingTask,nonolf,audiobook,low,500-1000,750,-1.02584600709466,-0.124402101260865,68
260514_OBE_NWU_BW_1,BW,breathingTask,nonolf,audiobook,low,1000-1500,1250,-0.405748636601253,-0.0492042495928624,68
260514_OBE_NWU_BW_1,BW,breathingTask,nonolf,audiobook,low,1500-2000,1750,-0.461960825546895,-0.0560209787831583,68
260514_OBE_NWU_BW_1,BW,breathingTask,nonolf,focusedBreathing,high,0-500,250,0.170609034238614,0.0273193096750981,39
260514_OBE_NWU_BW_1,BW,breathingTask,nonolf,focusedBreathing,high,500-1000,750,2.62029905754185,0.419583650501387,39
260514_OBE_NWU_BW_1,BW,breathingTask,nonolf,focusedBreathing,high,1000-1500,1250,4.1629059853091,0.666598449891693,39
260514_OBE_NWU_BW_1,BW,breathingTask,nonolf,focusedBreathing,high,1500-2000,1750,3.21593221307033,0.514961288041261,39
260514_OBE_NWU_BW_1,BW,breathingTask,nonolf,focusedBreathing,low,0-500,250,0.494466127195538,0.0791779480669729,39
260514_OBE_NWU_BW_1,BW,breathingTask,nonolf,focusedBreathing,low,500-1000,750,-0.225611512469048,-0.036126754968842,39
260514_OBE_NWU_BW_1,BW,breathingTask,nonolf,focusedBreathing,low,1000-1500,1250,0.361434650940511,0.0578758633762902,39
260514_OBE_NWU_BW_1,BW,breathingTask,nonolf,focusedBreathing,low,1500-2000,1750,0.38824520302869,0.0621689875846653,39
260608_OBE_NWU_RX_1,RX,breathingTask,nonolf,audiobook,high,0-500,250,-0.763814967837308,-0.0881977554583871,75
