metric,family,is_manipulation,n_subj,n_pos,n_neg,mean_logVarRatio,sd_logVarRatio,direction,varRatio_p,varRatio_p_fdr,varRatio_t_p,varRatio_t_p_fdr,varRatio_sign_p,mean_KS,mean_KS_centered,mean_IQRdiff,KS_combined_p,KS_combined_p_fdr,KS_centered_combined_p,KS_centered_combined_p_fdr
p1_bandDb,segment_gamma,FALSE,6,5,1,0.26527154487702187,0.4105733148950361,higher_focus,0.20841280368414858,0.6731597569831087,0.17435581515246942,0.717757977856032,0.21875000000000008,0.20087683168778683,0.12776945678975085,-0.013778293367080882,0.00459102884080842,0.031754616148924907,0.9076345141580485,1
p4_bandDb,segment_gamma,FALSE,6,6,0,0.3448596101928249,0.5595946493579889,higher_focus,0.036031686218233556,0.28825348974586845,0.19154210177779524,0.717757977856032,0.03125000000000001,0.21438065781020477,0.1541277629445263,0.34900538756345234,0.016189692871251826,0.062226168184302266,0.918702607405124,1
p4_rpowDb,segment_gamma,FALSE,6,4,2,0.5134837407739058,0.8610918404099331,higher_focus,0.1422132419363925,0.6731597569831087,0.20393976843683653,0.717757977856032,0.6874999999999999,0.2033348337500085,0.17071472636325447,0.41296867260969755,0.02145613604863994,0.0715583338098809,0.5457874178987393,1
peakFreq,gamma_power,FALSE,6,3,3,0.15884907004815357,0.2736245904758613,higher_focus,0.40167816646977295,0.6985707242952572,0.2142880026300854,0.717757977856032,1,0.15997653146893154,0.17164585710348926,2.75,0.40466663796677893,0.5248020461131664,0.3098220526632335,1
freqJitter,ridge_frequency,FALSE,6,4,2,0.13979366280582664,0.24215424259783047,higher_focus,0.2945073936801101,0.6731597569831087,0.2164768471016209,0.717757977856032,0.6874999999999999,0.1523632288296246,0.11595859677252568,0.184724260482243,0.466631461225824,0.5780658400260208,0.9590219265111134,1
apOffset,aperiodic,FALSE,6,2,4,-0.4314655775085665,0.7482572329428316,higher_audiobook,0.2945073936801101,0.6731597569831087,0.21692770501536124,0.717757977856032,0.6874999999999999,0.26484478703611003,0.16362278955998316,-0.14029191461383866,1.8565426726768752e-4,0.003239581434183703,0.27297133547871166,1
w3_rfreqPW,window_gamma,FALSE,6,4,2,0.0800590228933746,0.1465481567321086,higher_focus,0.2945073936801101,0.6731597569831087,0.238474374096235,0.717757977856032,0.6874999999999999,0.18717539622521467,0.12821317032907312,0.7660670207894249,0.10945001664706633,0.18168702763413008,0.9889595205906616,1
w2_bandDb,window_gamma,FALSE,6,4,2,0.22414492352352833,0.43190252153243047,higher_focus,0.20841280368414858,0.6731597569831087,0.2595785911694241,0.717757977856032,0.6874999999999999,0.20583211321886358,0.13275447396013218,0.10415709005060177,0.005033841805960337,0.03213914383805446,0.7547174583206723,1
w1_rfreqPW,window_gamma,FALSE,6,5,1,0.1365802110323223,0.2683393649155244,higher_focus,0.2945073936801101,0.6731597569831087,0.2677099123251353,0.717757977856032,0.21875000000000008,0.2004796963871553,0.13610266004401356,1.386725924585343,0.0216428041608282,0.0715583338098809,0.7843936476014222,1
dutyCycle,burst,FALSE,6,4,2,0.12279836684004095,0.24238977540864873,higher_focus,0.2945073936801101,0.6731597569831087,0.269671211611717,0.717757977856032,0.6874999999999999,0.19891078815672097,0.13575504525689838,0.010406260406260422,0.012168290098985346,0.05315621464293598,0.759154159764879,1
timeAboveMs,burst,FALSE,6,4,2,0.12279836684004093,0.24238977540864878,higher_focus,0.2945073936801101,0.6731597569831087,0.26967121161171703,0.717757977856032,0.6874999999999999,0.19891078815672097,0.13575504525689838,20.833333333333332,0.010652571515901155,0.04912019087887754,0.7573744852277565,1
peakLatMs,gamma_power,FALSE,6,1,5,-0.05518453295678354,0.10961953056405502,higher_audiobook,0.40167816646977295,0.6985707242952572,0.2723395038417042,0.717757977856032,0.21875000000000008,0.14949561638157838,0.14520588176622856,-6.083333333333333,0.6708918082689477,0.7231690920301644,0.8104414188175904,1
w5_aucZ,window_gamma,FALSE,6,3,3,-0.17856475023663795,0.3740050979825915,higher_audiobook,0.40167816646977295,0.6985707242952572,0.2949205503970968,0.717757977856032,1,0.17983344027060133,0.1428252502272722,-0.04367214065445265,0.14699783356819185,0.23020415445584763,0.7398374211522518,1
w5_rpowZ,window_gamma,FALSE,6,3,3,-0.1785647502366373,0.374005097982591,higher_audiobook,0.40167816646977295,0.6985707242952572,0.2949205503970978,0.717757977856032,1,0.17983344027060133,0.1428252502272722,-0.08734428130890919,0.13770778664298777,0.2198028132955382,0.7179509248790878,1
