sess,cond,freqRange,minLat_ms,maxLat_ms,minPct,maxPct,breathMs
AS,ATB,22,296,1482,8.85697187312986,44.3447037701975,3342
AS,ATB,25,3538,1378,99.8306997742664,38.882618510158,3544
AS,ATB,31,2806,1756,64.4761029411765,40.3492647058824,4352
AS,ATB,31,3718,1734,93.4170854271357,43.5678391959799,3980
AS,ATB,31,200,434,1.32275132275132,2.87037037037037,15120
AS,ATB,17,1618,200,56.5734265734266,6.99300699300699,2860
TI,baseline,33,1330,964,52.652414885194,38.1631037212985,2526
TI,baseline,30,2148,3222,42.874251497006,64.311377245509,5010
TI,baseline,33,1714,2838,38.0888888888889,63.0666666666667,4500
TI,baseline,31,3232,692,88.3060109289618,18.9071038251366,3660
TI,baseline,25,1448,688,26.3752276867031,12.5318761384335,5490
TI,baseline,31,200,1024,3.30797221303341,16.9368177307311,6046
TI,baseline,29,200,3138,4.49034575662326,70.4535249214189,4454
TI,baseline,30,392,1154,7.68928991761475,22.6363279717536,5098
TI,baseline,29,200,2468,4.70809792843691,58.0979284369115,4248
TI,baseline,28,2250,3670,59.5238095238095,97.0899470899471,3780
TI,baseline,29,2056,200,50.8910891089109,4.95049504950495,4040
TI,baseline,29,3654,2376,94.3211151264843,61.3319566339701,3874
TI,baseline,31,1494,2168,22.192513368984,32.2043969102793,6732
TI,baseline,33,2746,3620,68.7531296945418,90.6359539308963,3994
TI,baseline,32,1966,1516,41.1986588432523,31.7686504610226,4772
TI,baseline,27,1534,2334,24.4969658256148,37.2724369211115,6262
TI,baseline,25,2292,2134,63.3149171270718,58.9502762430939,3620
TI,baseline,29,2286,3228,63.1491712707182,89.171270718232,3620
TI,baseline,31,1232,2732,33.8275672707304,75.0137287204833,3642
TI,baseline,32,3230,1224,86.734693877551,32.8678839957035,3724
TI,baseline,31,1562,290,37.6748673420164,6.99469368065605,4146
TI,baseline,26,734,3580,14.0129820542192,68.3466972126766,5238
TI,baseline,32,3114,2352,61.2509834775767,46.2627852084972,5084
TI,baseline,33,3006,560,68.5050136736554,12.7620783956244,4388
TI,baseline,33,1990,606,47.8135511773186,14.5603075444498,4162
TI,baseline,22,2842,658,58.3333333333333,13.5057471264368,4872
TI,baseline,31,968,1736,22.9928741092637,41.2351543942993,4210
TI,baseline,32,2428,3346,65.0241028387788,89.6089983931441,3734
TI,baseline,33,1810,1006,12.1688853032137,6.76347989780826,14874
TI,baseline,32,356,738,7.09445994420088,14.7070546034277,5018
TI,baseline,31,652,216,14.2982456140351,4.73684210526316,4560
TI,baseline,30,3718,3490,74.7186495176849,70.1366559485531,4976
TI,baseline,24,2232,804,47.8969957081545,17.2532188841202,4660
TI,baseline,25,1730,200,72.3849372384937,8.36820083682008,2390
TI,baseline,27,2456,2250,53.6947966768693,49.1910800174902,4574
TI,baseline,33,2856,1528,87.0201096892139,46.5569774527727,3282
TI,baseline,26,1628,2384,50.2469135802469,73.5802469135803,3240
TI,baseline,31,3810,2500,79.874213836478,52.4109014675052,4770
TI,baseline,33,3458,3030,81.4030131826742,71.3276836158192,4248
TI,baseline,28,1808,200,51.8646012621916,5.7372346528973,3486
TI,baseline,33,1194,1996,33.9397384877771,56.7367822626492,3518
TI,baseline,28,1534,2220,68.6660698299015,99.373321396598,2234
TI,baseline,32,662,3730,16.3054187192118,91.871921182266,4060
TI,baseline,31,200,376,5.34188034188034,10.042735042735,3744
TI,baseline,30,1574,200,47.4954737477369,6.03500301750151,3314
TI,baseline,32,3490,1256,74.8927038626609,26.9527896995708,4660
TI,baseline,32,3368,258,99.409681227863,7.61511216056671,3388
TI,baseline,30,972,3280,29.0149253731343,97.910447761194,3350
TI,baseline,33,200,2330,5.27148128624143,61.4127569847127,3794
TI,baseline,33,1180,1668,40.3005464480874,56.9672131147541,2928
TI,baseline,33,1800,2482,49.9445061043285,68.8679245283019,3604
TI,baseline,33,230,2638,6.42458100558659,73.6871508379888,3580
TI,baseline,31,2440,200,80.2631578947368,6.57894736842105,3040
TI,baseline,26,200,2414,5.08130081300813,61.3313008130081,3936
TI,baseline,31,3192,2308,98.034398034398,70.8845208845209,3256
TI,baseline,22,200,1014,9.65250965250965,48.9382239382239,2072
TI,baseline,31,962,2078,30.5009511731135,65.8845909955612,3154
TI,baseline,31,3766,1908,85.7468123861566,43.4426229508197,4392
TI,baseline,31,468,1314,12.8571428571429,36.0989010989011,3640
TI,baseline,30,2398,536,67.5492957746479,15.0985915492958,3550
TI,baseline,27,424,2602,10.4125736738703,63.8998035363458,4072
TI,baseline,33,3124,1274,92.3167848699764,37.6477541371158,3384
TI,baseline,31,290,2688,9.00621118012422,83.4782608695652,3220
TI,baseline,30,2566,2754,69.9182561307902,75.0408719346049,3670
TI,baseline,27,2784,1132,73.109243697479,29.7268907563025,3808
TI,baseline,25,2482,3132,37.4584968306671,47.2683368548144,6626
TI,baseline,27,1910,200,42.9213483146067,4.49438202247191,4450
TI,baseline,33,3680,908,77.7355302070131,19.1803971271652,4734
TI,baseline,33,1170,2596,32.6998323085523,72.5544997205143,3578
TI,baseline,28,3146,1530,77.9098563645369,37.890044576523,4038
TI,baseline,32,312,2032,10.427807486631,67.9144385026738,2992
TI,ATB,26,3560,2712,91.6109109624292,69.7889861039629,3886
TI,ATB,24,1190,3318,28.4961685823755,79.4540229885057,4176
TI,ATB,33,2470,3370,70.5714285714286,96.2857142857143,3500
TI,ATB,28,1276,2102,30.0943396226415,49.5754716981132,4240
TI,ATB,19,1510,2376,37.9587732528909,59.7285067873303,3978
TI,ATB,32,2334,1388,52.2615315718764,31.0792655620242,4466
TI,ATB,30,2704,1402,48.9146164978292,25.3617945007236,5528
TI,ATB,23,1282,1590,27.6055124892334,34.2377260981912,4644
TI,ATB,33,1118,1708,28.476821192053,43.5048395313296,3926
TI,ATB,30,1726,2168,40.7459867799811,51.180358829084,4236
TI,ATB,30,808,3624,22.0765027322404,99.016393442623,3660
TI,ATB,32,1260,1686,30.8370044052863,41.2628487518355,4086
TI,ATB,33,2310,928,64.0954495005549,25.7491675915649,3604
TI,ATB,28,3228,2112,97.6406533575318,63.8838475499093,3306
TI,ATB,31,1190,1596,32.6385079539221,43.7739989029073,3646
TI,ATB,30,1324,2290,36.1748633879781,62.568306010929,3660
TI,ATB,31,200,2136,5.28820729772607,56.4780539397144,3782
TI,ATB,28,3738,1106,97.2424557752341,28.7721123829344,3844
TI,ATB,32,1262,2898,38.3353584447145,88.0315917375456,3292
TI,ATB,33,2856,1420,76.8154922001076,38.1925766541151,3718
TI,ATB,30,3572,2348,85.4136776661884,56.1453849832616,4182
TI,ATB,29,1050,1186,24.7641509433962,27.9716981132075,4240
TI,ATB,32,3486,2150,82.2557810287872,50.7314771118452,4238
TI,ATB,31,200,1730,4.3859649122807,37.9385964912281,4560
TI,ATB,31,1192,1966,33.998859098688,56.0752994865944,3506
TI,ATB,27,200,1684,5.3276505061268,44.8588172615876,3754
TI,ATB,32,2328,200,53.9638386648122,4.63606861381548,4314
TI,ATB,30,1416,1722,33.810888252149,41.1174785100287,4188
TI,ATB,32,1712,200,48.6916951080774,5.68828213879408,3516
TI,ATB,32,1872,1506,46.9408224674022,37.7632898696088,3988
TI,ATB,32,332,2780,9.89862850327967,82.8861061419201,3354
TI,ATB,30,3046,340,95.6658291457286,10.678391959799,3184
TI,ATB,24,994,1272,23.9518072289157,30.6506024096386,4150
TI,ATB,24,2454,1196,66.1812297734628,32.2545846817691,3708
TI,ATB,28,1480,3218,39.9568034557235,86.8790496760259,3704
TI,ATB,29,1820,2648,51.0089686098655,74.2152466367713,3568
TI,ATB,25,200,2026,5.74052812858783,58.1515499425947,3484
TI,ATB,33,2190,200,61.1049107142857,5.58035714285714,3584
TI,ATB,28,3128,802,74.0179839091339,18.9777567439659,4226
TI,ATB,30,2754,3142,69.6157735085945,79.4236602628918,3956
TI,ATB,26,1404,2696,28.5018270401949,54.7300040600893,4926
TI,ATB,29,2546,1408,37.24400234055,20.5968402574605,6836
TI,ATB,33,2006,2826,52.706253284288,74.2511823436679,3806
TI,ATB,29,2918,1898,67.2350230414746,43.7327188940092,4340
TI,ATB,26,1354,2772,32.9761324890404,67.510959571359,4106
TI,ATB,29,1248,2492,31.3725490196078,62.6445449974862,3978
TI,ATB,33,2130,3014,52.154750244858,73.8001958863859,4084
TI,ATB,33,2372,1732,62.5527426160338,45.6751054852321,3792
TI,ATB,32,2746,200,67.6021664204825,4.92368291482028,4062
TI,ATB,29,2278,390,58.560411311054,10.025706940874,3890
TI,ATB,32,2908,590,58.5581957309706,11.8807893677004,4966
TI,ATB,30,2616,830,60.5275335492827,19.2040721888015,4322
TI,ATB,32,2424,3632,58.6073500967118,87.8143133462282,4136
TI,ATB,27,1190,2890,32.6564215148189,79.3084522502744,3644
TI,ATB,32,976,1950,19.98361998362,39.9262899262899,4884
TI,ATB,28,3934,1870,96.374326310632,45.8108770210681,4082
TI,ATB,31,2976,1360,70.5547652916074,32.2427690848743,4218
TI,ATB,29,1344,480,31.8181818181818,11.3636363636364,4224
TI,ATB,33,3758,2744,91.0809500727096,66.5050896752303,4126
TI,ATB,28,200,1254,3.5778175313059,22.432915921288,5590
